avg_rating,helpful,model,product,q_and_a,rating,recommended,skuId,total_reviews,unhelpful,user
4.6,0,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,guitarjimbo
4.6,0,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,KBoer
4.6,1,GA00467-US,Google - Pixel 3 128 GB - Clearly White (Verizon),17,5,88%,6303037,57,0,Shawn
4.7,18,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,BBJS
4.7,23,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,Daboosh
4.7,24,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,4,97%,6191413,2499,5,JHoffman02
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,2,97%,6191413,2499,0,Ntmd8or
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,4,97%,6191413,2499,0,Reviewname
4.7,2,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,cgNY
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,4,97%,6191413,2499,0,Tg25
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,rcrumb
4.7,18,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,2,97%,6191413,2499,66,ceponatia
4.7,8,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,1,NancyM
4.7,1,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,2,97%,6191413,2499,2,Simplysouthern
4.7,2,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,3,Carwen
4.7,6,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,Vera
4.7,19,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,3,twilly
4.7,8,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,1,97%,6191413,2499,12,thecrg
4.7,15,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,1,MRes
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,HTSME
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,1,97%,6191413,2499,1,teacher
4.7,12,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,1,97%,6191413,2499,10,Notessh
